Orden,Provincia,Codigo,Departamento/Partido,Cantidad de filiales,Hay filiales,Mas de cinco filiales,Mas de cincuenta filiales,Pisos con revestimiento,Agua por cañeria dentro     de la vivienda,Agua para beber y cocinar por red publica,Baño o letrina dentro de la vivienda,Dos o mas baños,Baño con inodoro con arrastre de agua,Desagüe del inodoro del baño a red publica,Gas de red o electricidad para cocinar,Vivienda propia,Internet,Celular con internet,Computadora. tablet. etc.,Inspeccion en plazo,Equipo de inspeccion
16,BUENOS AIRES,BA,BERISSO,4,SI,SI,NO,85,91.5,91.5,95.7,22.9,87.2,50.2,63.2,73.6,82.1,90.9,57.2,SI,NO
17,BUENOS AIRES,BA,BOLIVAR,22,SI,NO,NO,94,97.8,92,98.8,23.4,97.3,79.1,68.3,64.8,74.3,85.5,53.7,SI,NO
18,BUENOS AIRES,BA,BRAGADO,7,SI,NO,NO,92.8,96.7,86.8,98.6,25.5,95.4,69.9,70.2,71.1,85.3,90,59.4,SI,SI
19,BUENOS AIRES,BA,BRANDSEN,3,SI,SI,NO,86.4,93.3,63.3,97.7,23.1,91,47.4,42,69,68.5,87.5,52.2,SI,NO
20,BUENOS AIRES,BA,CAMPANA,6,SI,NO,NO,87.8,94.2,89.4,96.4,26.7,88.1,55.2,63.4,67.3,80.7,91.8,60.2,NO,NO
21,BUENOS AIRES,BA,CAÑUELAS,5,SI,NO,NO,80,87.8,34,96.5,20.7,85.1,27.6,33,71.4,76.9,90.5,51.1,NO,SI
22,BUENOS AIRES,BA,CAPITAN SARMIENTO,3,SI,SI,NO,92.1,97.2,92.3,98.1,23.9,96.4,90.1,69.7,64.8,82.6,89.6,58.1,NO,SI
23,BUENOS AIRES,BA,CARLOS CASARES,4,SI,SI,NO,91.8,95.3,75.1,98.6,23.1,95.4,82.8,67.4,67.5,81.7,88.9,57.1,SI,NO
24,BUENOS AIRES,BA,CARLOS TEJEDOR,3,SI,SI,NO,91.5,92.4,67.4,97.8,17.8,95.1,9.3,52.7,68.3,83.1,88.6,56.8,NO,NO
25,BUENOS AIRES,BA,CARMEN DE ARECO,3,SI,SI,NO,88.5,95.7,84.6,98.2,20.7,93,57.2,53.5,66.5,74.9,88.2,51.3,NO,NO
26,BUENOS AIRES,BA,CASTELLI,2,SI,SI,NO,93.6,95.3,81.3,98.3,19.5,96.8,79,57.4,63.1,77.5,86.8,50.9,SI,SI
27,BUENOS AIRES,BA,CHACABUCO,9,SI,NO,NO,92.7,96.3,92.1,98.3,22.9,95.9,82.9,62.7,66.9,79.6,88,55.8,SI,SI
28,BUENOS AIRES,BA,CHASCOMUS,11,SI,NO,NO,92.5,95.5,73.6,98.7,25.2,93.9,62.9,59.2,66.4,79.7,89.5,57.9,SI,NO
